project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
220100279,"REWARI-ROHTAK (NL),NR(NORTHERN RAILWAY) - [220100279]",Border(National Highways Authority Of India) -,NORTHERN RAILWAY,2010,2013-01-31,149.38,508.76,-24.007220603168317,240.58106841611993,-264.58828901928825,223.28127167633076,1095,-871.7187283236692,1,1
,URANIUM ORE MINE and PROCESSING PLANT AT,Border(National Highways Authority Of India) -,Not reported,2011,2013-02-28,1106.29,1084.24,-24.461451228902686,-1.993148270345023,-22.46830295855766,98.06242572721385,699,-600.9375742727862,0,1
,330 TPH BOILER-6 AND AUXILIARY SYSTEM 260.00 350.00 08/2010 03/,Krishnapatnam,Not reported,2013,2013-03-31,2013.0,1.0,-98.41359036338204,-99.95032290114257,1.5367325377605283,0.0,0,0.0,0,0
,"765 KV POOLING STATION AND NETWORK 7,075.33 7,075.33 08/2012 01/",Electtrical Grids Of India And B Pgcil,Not reported,2014,2013-03-31,2014.0,2.0,-96.32487756190713,-99.90069513406156,3.5758175721544347,0.011877594169462515,0,0.011877594169462515,0,0
,ADDITIONAL GAS PROCESSING FACILITY AT 02/2008 370.11 04/2011,Complex Mhn,Not reported,2013,2013-03-31,370.11,279.73,-27.899428882958688,-24.419767096268675,-3.479661786690013,51.38807928963352,30,21.388079289633517,1,0
,ASSAM/WB BORDER TO GAIRKATTA (WB-1) 12/2003 221.82 11/2008,Krishnapatnam,Not reported,2013,2013-03-31,221.82,299.96,-17.12703573176164,35.22676043638986,-52.353796168151504,36.71353254137492,30,6.713532541374917,0,1
,AUGMENTATION OF PARADIP HALDIA 586.00 586.00 07/2015 07/,Rinl,Not reported,2015,2013-03-31,2015.0,1.0,-96.18043062201485,-99.95037220843672,3.769941586421865,0.007308505457386996,0,0.007308505457386996,0,0
,Armur to kadloor yellareddy NHAI 390.56 390.56 02/2012 03/,Sasan Ultra Me Pgcil,Not reported,2013,2013-03-31,2013.0,1.0,-98.41359036338204,-99.95032290114257,1.5367325377605283,0.0,0,0.0,0,0
,"BANKURA - DAMODAR (GC) (SER) SER 111.90 1,423.98 03/2005 06/",Sasan Ultra Me Pgcil,Not reported,2016,2013-03-31,2016.0,6.0,-94.64144645455079,-99.70238095238095,5.060934497830161,0.007308505457386996,0,0.007308505457386996,0,0
,BUTADIENE EXTRACTION UNIT (BDEU) AT 341.50 341.50 02/2013 03/,Barauni Pipeline Iocl,Not reported,2013,2013-03-31,2013.0,2.0,-98.41359036338204,-99.90064580228515,1.4870554389031128,0.0,0,0.0,0,0
,"CONST. & DEV. OF 2 OFFSHORE 1,228.00 1,460.00 12/2010 12/",Terminal At Puthu Port Trust,Not reported,2014,2013-03-31,2013.0,4.0,-98.57909119915186,-99.8012916045703,1.2222004054184339,0.0,0,0.0,0,0
,"CONSTRUCTION OF NEW PROCESS 01/2007 2,853.29 05/2010",Annexure-I,Not reported,2013,2013-03-31,6326.4,5659.05,-20.796627539143053,-10.548653262518961,-10.247974276624092,1.1144483561800378,30,-28.885551643819962,0,0
,DELHI/ HARYANA BORDER TO ROHTAK 486.00 486.00 05/2010 03/,Sasan Ultra Me Pgcil,Not reported,2013,2013-03-31,2013.0,3.0,-98.41359036338204,-99.85096870342772,1.437378340045683,0.0,0,0.0,0,0
,"DIESEL HYDROTREATOR PROJECT AT 3,597.00 2,730.00 09/2011 03/",Panipat Iocl,Not reported,2013,2013-03-31,2013.0,3.0,-98.41359036338204,-99.85096870342772,1.437378340045683,0.0,0,0.0,0,0
,EASTERN REGION STRENGTHENING 975.96 975.96 10/2009 06/,With Dvc And Ma Pgcil,Not reported,2013,2013-03-31,2013.0,3.0,-99.90547748679464,-99.85096870342772,-0.054508783366912894,0.0,0,0.0,0,0
,"EXPANSION OF IISCO STEEL PLANT SAIL 14,443.00 16,408.00 12/2011 06/",Rinl,Not reported,2013,2013-03-31,2013.0,6.0,-99.8484822368074,-99.70193740685544,-0.1465448299519636,0.0,0,0.0,0,0
,"GADWAL - RAICHUR (NL), SCR SCR 92.63 270.00 02/2011 02/",Sasan Ultra Me Pgcil,Not reported,2013,2013-03-31,2013.0,1.0,-98.41359036338204,-99.95032290114257,1.5367325377605283,0.0,30,-30.0,0,0
