project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun_percentage,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
,CONSTRUCTION OF PAVED SHOULDERS IN KM.81/0 TO 203/0,Epc(Ministry Of Road Transport And Highways (State,Not reported,2015,2022-02-28,258.97,229.77,-45.45320282005715,-11.275437309340857,-34.17776551071629,1471.0822330447331,2403,-931.9177669552669,1,1
,ELECTRIFICATION OF KHURJA-MEERUT-SAHARANPUR AND G'BAD-,Noapara-Nscb Airport(Mtp)                 (Metropolitan,Not reported,2012,2022-02-28,171.1,141.55,11.877443717378567,-17.270601987142012,29.148045704520577,2202.0975865800856,3651,-1448.9024134199144,1,1
,FOUR LANING FROM MPMAHARASHTRA BORDER TO NAGPUR IC,Epc(Ministry Of Road Transport And Highways (State,Not reported,2012,2022-02-28,1170.52,2051.36,-11.41482683128497,75.2520247411407,-86.66685157242567,1696.4283579299497,3559,-1862.5716420700503,1,1
,"GWALIOR-JHANSI, NH-75",Road Transport And Highways,Not reported,2009,2022-02-28,604.0,360.15,8.672633438188393,-40.372516556291394,49.045149994479786,3682.5468434343456,4472,-789.4531565656544,1,1
,HOWRAH DIVISION- PLATFORM SHELTER (40 C CATEGORY,Udaipur                          (North Western Railway) -,Not reported,2018,2022-02-28,157.94,51.75,-20.775198781210005,-67.23439280739521,46.4591940261852,312.25507034632045,1215,-902.7449296536795,1,1
,"LILUAH-DANKUNI 3RD LINE, MM FOR DANKUNI-JONGALPARA-",Stations)                        (Eastern Railways) -,Not reported,2014,2022-02-28,257.42,109.66,-25.269486817766705,-57.400357392588,32.130870574821294,1288.2390584415582,2921,-1632.7609415584418,1,1
,"MAVLI JUNCTION-BARI SADRI, MM OF AJMER- CHITTSURGARH-",Meerut                          (Railway Electrification) -,Not reported,2020,2022-02-28,420.18,387.54,-21.227539551228826,-7.768099385977435,-13.45944016525139,508.705909090909,729,-220.29409090909098,1,1
,TOLLYGANJ-GARIA WITH EXTENSION TO DUM DUM-NOAPARA AND,Railways,Not reported,2006,2022-02-28,1049.69,3837.57,14.383910561173773,265.59079347235854,-251.20688291118478,3009.493585858587,5568,-2558.506414141413,1,1
,TRANSMISSION SYSTEM STRENTHENNING IN INDIAN SYSTEM FOR,Flash Report,Not reported,2018,2022-02-28,808.63,690.89,-8.341017831431289,-14.560429368190645,6.219411536759356,319.5925595238095,1519,-1199.4074404761905,1,1
,JAMMU-UDHAMPUR KM.27.5 TO KM.67.00,Road Transport And Highways,Not reported,2013,2022-03-31,1813.76,2656.47,18.80259001652758,46.46204569513055,-27.659455678602967,1154.9684922274694,3195,-2040.0315077725306,1,1
,"SETTING UP OF FACILITIES FOR PRODUCTION OF POLYOLS,",Petroleum,Not reported,2023,2022-03-31,11130.0,425.3,-11.426436563383982,-96.17879604672058,84.75235948333659,756.6652651515153,0,756.6652651515153,1,0
,4 LANING OF NAGPUR-BETUL,Road Transport And Highways,Not reported,2014,2022-04-30,2498.76,2531.46,-1.6591958300963907,1.3086490899486072,-2.967844920044998,601.5437169074285,2829,-2227.4562830925715,1,1
,CAPTIVE NATURAL GAS PIPELINE FROM DAHEJ TO KOYALI,Petroleum,Not reported,2021,2022-04-30,315.0,232.8,-8.114425203157397,-26.095238095238095,17.9808128920807,377.9012121212122,150,227.9012121212122,1,1
,"CONSTRUCTION OF GRASS ROOT POL TERMINAL AT MOTIHARI,",Refinery                            (Indian Oil Corporation,Not reported,2021,2022-04-30,522.0,443.99,-15.46750908806774,-14.944444444444443,-0.5230646436232966,389.89809523809527,425,-35.101904761904734,1,1
,NASHRI- CHANANI,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2015,2022-04-30,2159.0,4729.68,-21.715848062422385,119.06808707735064,-140.78393513977304,217.20348998690574,2525,-2307.796510013094,0,1
,SETTING UP OF PHASE LL FACILITIES FOR HPCL GREEN R AND D,Bihar                           (Indian Oil Corporation Limited),Not reported,2021,2022-04-30,380.0,366.58,-14.582540218216586,-3.531578947368425,-11.05096127084816,606.3981331168831,180,426.39813311688306,1,1
,SYSTEM STRENGTHENING SCHEMES AT TUTICORIN-II (ERSTWHILE,Power,Not reported,2020,2022-04-30,496.11,322.28,-23.451961926168984,-35.038600310415035,11.58663838424605,249.21465909090898,698,-448.785340909091,0,1
,UPGRADATION OF NEW NATIONAL HIGHWAY NO 168 TO TWO LANE,Configuration And Geometric Improvement From,Not reported,2018,2022-05-31,464.07,319.88,-27.756168935053534,-31.07074363781326,3.3145747027597245,350.34531385281383,1307,-956.6546861471861,1,1
