project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
,CONSTRUCTION OF PAVED SHOULDERS IN KM.81/0 TO 203/0,Epc(Ministry Of Road Transport And Highways (State,Not reported,2015,2022-02-28,258.97,229.77,-39.03474985351879,-11.275437309340857,-27.75931254417793,1300.41740749685,2403.0,-1102.58259250315,1,1
,ELECTRIFICATION OF KHURJA-MEERUT-SAHARANPUR AND G'BAD-,Noapara-Nscb Airport(Mtp)                 (Metropolitan,Not reported,2012,2022-02-28,171.1,141.55,-14.493001696056496,-17.270601987142012,2.777600291085516,209.24980879353464,3651.0,-3441.7501912064654,1,1
,FOUR LANING FROM MPMAHARASHTRA BORDER TO NAGPUR IC,Epc(Ministry Of Road Transport And Highways (State,Not reported,2012,2022-02-28,1170.52,2051.36,-19.88917749918252,75.2520247411407,-95.14120224032322,1705.7445205598751,3559.0,-1853.2554794401249,1,1
,"GWALIOR-JHANSI, NH-75",Road Transport And Highways,Not reported,2009,2022-02-28,604.0,360.15,-13.087273285951177,-40.372516556291394,27.285243270340217,779.6427921227947,4472.0,-3692.3572078772054,1,1
,HOWRAH DIVISION- PLATFORM SHELTER (40 C CATEGORY,Udaipur                          (North Western Railway) -,Not reported,2018,2022-02-28,157.94,51.75,-20.369081382439916,-67.23439280739521,46.865311424955294,125.17377237794072,1215.0,-1089.8262276220594,1,1
,"LILUAH-DANKUNI 3RD LINE, MM FOR DANKUNI-JONGALPARA-",Stations)                        (Eastern Railways) -,Not reported,2014,2022-02-28,257.42,109.66,-17.504920630645504,-57.400357392588,39.89543676194249,639.9934123543533,2921.0,-2281.0065876456465,1,1
,"MAVLI JUNCTION-BARI SADRI, MM OF AJMER- CHITTSURGARH-",Meerut                          (Railway Electrification) -,Not reported,2020,2022-02-28,420.18,387.54,-22.784225571829694,-7.768099385977435,-15.016126185852258,337.69989694705725,729.0,-391.30010305294275,1,1
,TOLLYGANJ-GARIA WITH EXTENSION TO DUM DUM-NOAPARA AND,Railways,Not reported,2006,2022-02-28,1049.69,3837.57,-16.99951790625975,265.59079347235854,-282.5903113786183,187.26854841625803,5568.0,-5380.731451583742,1,1
,TRANSMISSION SYSTEM STRENTHENNING IN INDIAN SYSTEM FOR,Flash Report,Not reported,2018,2022-02-28,808.63,690.89,-21.67538056567384,-14.560429368190645,-7.114951197483196,599.6186524730869,1519.0,-919.3813475269131,1,1
,JAMMU-UDHAMPUR KM.27.5 TO KM.67.00,Road Transport And Highways,Not reported,2013,2022-03-31,1813.76,2656.47,-15.536599156821577,46.46204569513055,-61.99864485195212,22.116993817445692,3195.0,-3172.8830061825543,1,1
,"SETTING UP OF FACILITIES FOR PRODUCTION OF POLYOLS,",Petroleum,Not reported,2023,2022-03-31,11130.0,425.3,-10.547585391805445,-96.17879604672058,85.63121065491514,195.16140194399773,-335.0,530.1614019439977,1,0
,4 LANING OF NAGPUR-BETUL,Road Transport And Highways,Not reported,2014,2022-04-30,2498.76,2531.46,-21.891586796101407,1.3086490899486072,-23.200235886050013,221.92192183915444,2829.0,-2607.0780781608455,1,1
,CAPTIVE NATURAL GAS PIPELINE FROM DAHEJ TO KOYALI,Petroleum,Not reported,2021,2022-04-30,315.0,232.8,-15.13815094215165,-26.095238095238095,10.957087153086444,326.0418422768634,150.0,176.0418422768634,1,1
,"CONSTRUCTION OF GRASS ROOT POL TERMINAL AT MOTIHARI,",Refinery                            (Indian Oil Corporation,Not reported,2021,2022-04-30,522.0,443.99,-26.094239059262048,-14.944444444444443,-11.149794614817605,301.6674383006451,425.0,-123.33256169935493,1,1
,NASHRI- CHANANI,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2015,2022-04-30,2159.0,4729.68,-41.774485014109125,119.06808707735064,-160.84257209145977,172.80967459386864,2525.0,-2352.1903254061313,1,1
,SETTING UP OF PHASE LL FACILITIES FOR HPCL GREEN R AND D,Bihar                           (Indian Oil Corporation Limited),Not reported,2021,2022-04-30,380.0,366.58,-23.984198894955618,-3.531578947368425,-20.452619947587195,317.13381289478633,180.0,137.13381289478633,1,1
,SYSTEM STRENGTHENING SCHEMES AT TUTICORIN-II (ERSTWHILE,Power,Not reported,2020,2022-04-30,496.11,322.28,-21.384310094211617,-35.038600310415035,13.654290216203417,57.14213607085104,698.0,-640.857863929149,1,1
,UPGRADATION OF NEW NATIONAL HIGHWAY NO 168 TO TWO LANE,Configuration And Geometric Improvement From,Not reported,2018,2022-05-31,464.07,319.88,-27.64195551278307,-31.07074363781326,3.428788125030188,450.50168065547626,1307.0,-856.4983193445237,1,1
,WIDENING AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER,Highways And Infrastructure Development Corporation,Not reported,2018,2022-05-31,216.0,117.19,-26.830348511169824,-45.74537037037037,18.915021859200543,396.0150521085914,1307.0,-910.9849478914086,1,1
,BALANCE WORK OF 2-LANE WITH PAVED SHOULDER OF BHOPAL-,Road Transport And Highways,Not reported,2019,2022-06-30,227.49,193.99,-15.515349077295781,-14.725922018550266,-0.789427058745515,422.5815970736877,1276.0,-853.4184029263123,1,1
,DIFFERENT BUILDINGS UNDER PHASE 1 NORTH FOR IIT MANDI AT,Department Of Higher Education,Not reported,2014,2022-06-30,270.83,235.32,-17.30963831260743,-13.111545988258314,-4.1980923243491155,645.4075758422114,2798.0,-2152.5924241577886,1,1
,NAGAUR-BIKANER SECTION FROM KM 177.00 TO KM 267.325 ON NH-,Shoulder From Jind-Gohana Road From Design Chain,Not reported,2022,2022-06-30,370.36,271.81,-24.59007664512491,-26.609245058861653,2.019168413736743,302.7370999257378,-32.0,334.7370999257378,1,0
,AUGMENTATION OF PUMPING CAPACITY OF BARAUNI-BONGAIGAON,Petroleum,Not reported,2019,2022-08-31,571.66,511.0,-18.823307122337376,-10.61120246300248,-8.212104659334896,509.7519943124555,1004.0,-494.2480056875445,1,1
,STRENGTHENING OF CHURAIBARI - AGARTALA SECTION OF NH-08,Highways And Infrastructure Development Corporation,Not reported,2022,2022-08-31,257.96,122.81,-16.814083795623457,-52.39184369669716,35.577759901073705,470.719479883994,242.0,228.71947988399398,1,1
,2-LANE WITH PAVED SHOULDER WITH PROVISION OF CAPACITY,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2016,2022-11-30,530.07,558.12,-17.016036242843967,5.29175391929367,-22.307790162137636,823.0617663399245,2312.0,-1488.9382336600756,1,1
,4-LANNING OF PORBANDAR DWARKA SECTION IN THE STATE OF,Augmentation Of Rajasthan Border-Fatehpur-Sala Ppp,Not reported,2020,2022-11-30,1958.88,1116.85,-71.7825971642765,-42.985277301315044,-28.79731986296145,-12.193003397606367,912.0,-924.1930033976064,0,1
,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AND,Civil Aviation,Not reported,2019,2022-11-30,438.28,405.76,-19.76743917895054,-7.419914210094,-12.34752496885654,479.7797925117261,1278.0,-798.2202074882739,1,1
,QUAZIGUND-BANIHAL KM.220.00 TO KM.188.00,Road Transport And Highways,Not reported,2015,2022-11-30,1987.0,3116.66,-58.14298472854348,56.85254151987921,-114.99552624842269,0.0911017248482833,2709.0,-2708.908898275152,1,1
,2 LANNING OF MUZAFFARPUR - SONBARSA,Ennore Port Connectivity                 (National Highways,Not reported,2013,2022-12-31,511.54,576.99,-11.820352800647683,12.794698361809436,-24.61505116245712,275.11610229570005,3347.0,-3071.8838977043,1,1
,CONSTN. OF 4 LANING IN KM.99.00 TO 114.375 PACKAGE-V (EPC),Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2019,2022-12-31,247.25,195.15,-19.728625521800012,-21.07178968655207,1.3431641647520571,563.3753400182104,1401.0,-837.6246599817896,1,1
,DEVELOPMENT OF ADIQUATE ROAD CONNECTIVITY TO CHENNAI-,Road Transport And Highways,Not reported,2013,2022-12-31,600.0,338.04,-0.26435247430597997,-43.66,43.39564752569402,1695.6503210675164,3500.0,-1804.3496789324836,1,1
,KRISHNANAGAR-BERHAMPUR,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2014,2022-12-31,702.16,784.03,-2.161966369746807,11.659735672781133,-13.82170204252794,1977.7852081761653,3105.0,-1127.2147918238347,1,1
,SRINAGAR TO BANIHAL,Ppp (Annuity)(National Highways Authority Of India) -,Not reported,2014,2022-12-31,1100.7,2986.32,-7.244870973917227,171.31098391932406,-178.55585489324127,2819.339417390303,3135.0,-315.66058260969703,1,1
,"180 TMTPA NEW LPG PLANT AT PATALGANGA(DIST RAIGAD),",Koyali-Manmad-Ahmednagar-Solapur Pipeline (Indian Oil,Not reported,2020,2023-01-31,249.26,278.49,-23.16672215272198,11.726711064751672,-34.89343321747366,360.9029441797394,974.0,-613.0970558202606,1,1
,ADDITIONAL FACILITIES AT SOLAPUR FOR CONVERSION TO TOP ON,Its Extension Upto Patna And Muzaffarpur           (Indian Oil,Not reported,2021,2023-01-31,348.0,300.86,-23.437176143810916,-13.545977011494248,-9.891199132316668,298.5268787659604,760.0,-461.4731212340396,1,1
,AUGMENTATION OF MATHURA-TUNDLA PIPELINE AND ITS,Maharashtra                         (Hindustan Petroleum,Not reported,2022,2023-01-31,676.0,621.05,-25.10689752777025,-8.128698224852078,-16.97819930291817,288.6913608888452,183.0,105.69136088884522,1,1
,AUGMENTATION OF PARADIP-HALDIA-DURGAPUR LPG PIPELINE AND,Production Unit(Mops)                    (Oil & Natural Gas,Not reported,2021,2023-01-31,1823.0,2494.42,-33.45460318994148,36.83049917718048,-70.28510236712197,0.27498006620517174,701.0,-700.7250199337948,0,1
,CONSTRUCTION OF ROAD APPROACHES TO RAIL-CUM-ROAD,Carriageway With Paved Shoulder Including Geo,Not reported,2020,2023-01-31,235.48,226.67,-22.407359316519667,-3.741294377441822,-18.666064939077845,388.53353615397054,1066.0,-677.4664638460295,1,1
,CONVERSION OF RIG SAGAR SAMRAT TO MOBILE OFFSHORE,Petroleum,Not reported,2013,2023-01-31,861.79,1681.69,-6.001058091346383,95.13918704092646,-101.14024513227284,450.41708532044163,3562.0,-3111.5829146795586,1,1
,REHABILITATION AND UP GRADATION OF EXISTING 2-LANE TO 4-,Bridge Across River Ganga At Munger Ghat Near Munge,Not reported,2021,2023-01-31,564.66,452.72,-24.6256747484494,-19.82431905925689,-4.801355689192508,305.48085918499777,548.0,-242.51914081500223,1,1
,REHABILITATION SIX LANING UPGRADATION CHANDIKHOLE,Lane Standards To End Of Kamakhyanagar Bypas,Not reported,2021,2023-01-31,1522.0,636.05,-27.62062238478536,-58.2095926412615,30.58897025647614,46.580950064379465,609.0,-562.4190499356205,0,1
,WIDENING AND STRENFTHENING OF EXISITNG SL IL TO 2 LANE,Road Transport And Highways,Not reported,2016,2023-01-31,191.5,183.94,-12.82497272522454,-3.947780678851176,-8.877192046373365,935.6419145093696,2466.0,-1530.3580854906304,1,1
,CREATING INFRASTRUCTURE AT GUJARAT REFINERY AND DUMAD,Petroleum,Not reported,2020,2023-02-28,906.0,453.07,-23.53544448161084,-49.992273730684325,26.456829249073486,399.3633765287229,1123.0,-723.6366234712771,1,1
,DEVELOPMENT OF SIX LANE EASTERN PERIPHERAL EXPRESSWAY (,Road Transport And Highways,Not reported,2018,2023-02-28,771.18,792.0,-17.614692991456483,2.6997588111724955,-20.31445180262898,524.2735649182378,1825.0,-1300.7264350817622,1,1
,KEROSENE HYDROTREATER (KHT) UNIT INTEGRATED WITH,For Koyali Ahmednagar Solapur Pipeline         (Indian Oil,Not reported,2023,2023-02-28,697.0,538.45,-25.275153544862956,-22.747489239598274,-2.5276643052646826,288.6913608888452,-1.0,289.6913608888452,1,0
,REHABILITATION AND UPGRADING TO 2 LANE WITH PAVED,Epc Mode                         Epc(Ministry Of Road,Not reported,2016,2023-02-28,171.96,108.0,-12.131799185096945,-37.1946964410328,25.06289725593585,680.5297103188627,2463.0,-1782.4702896811373,1,1
,WIDNG WITH PS AND STRNG FROM KM.0.00 TO 50.675 OF NH-730A,Pkg-I)                         (National Highways Authority Of,Not reported,2015,2023-02-28,164.54,141.33,-12.338287522654532,-14.105992463838568,1.7677049411840358,633.1867684118268,2768.0,-2134.813231588173,1,1
,FOUR LANING OF TRICHY TO KALLAGAM SECTION ON NH-227 IN THE,Road Transport And Highways,Not reported,2021,2023-03-31,1166.26,444.08,-18.48939896919726,-61.92272735067653,43.43332838147927,138.25622921953948,788.0,-649.7437707804605,1,1
,ETHANOL PRODUCTION FROM PSA OFF GAS BASED ON LANZATECH,Facilities At Baitalpur Depot For                (Indian Oil,Not reported,2020,2023-04-30,598.0,679.2,-24.618966116382232,13.57859531772576,-38.197561434107996,348.58237187904103,1184.0,-835.417628120959,1,1
,REVAMPING OF EXISTING FACILITIES/ AUGMENTATION OF,Petroleum,Not reported,2021,2023-04-30,318.8,224.25,-15.13815094215165,-29.65809284818068,14.519941906029029,326.0418422768634,637.0,-310.9581577231366,1,1
,KAILASHAHAR TO KHOWAI PKG-2,Highways And Infrastructure Development Corporation,Not reported,2022,2023-05-31,206.78,197.72,-23.172504321448997,-4.3814682271012675,-18.79103609434773,539.0989474000571,334.0,205.0989474000571,1,1
,DOUBLING OF TRACK BETWEEN GOOTY AND DHARMAVARAM OF,Railways,Not reported,2021,2023-06-30,636.38,1081.75,-12.722950402014696,69.98491467362268,-82.70786507563739,287.7094122204603,851.0,-563.2905877795397,1,1
,CONSTRUCTION OF A NEW 2-LANE HIGHWAY FROM KM 0.00 (ON NH-,Rate(Ministry Of Road Transport And Highways (State,Not reported,2010,2023-08-31,195.04,415.11,-26.256530108636316,112.83326497128796,-139.08979507992427,1757.8888873493925,4717.0,-2959.1111126506075,1,1
,REHABILITATION AND UPGRADATION TO 2-LANE WITH PAVED,Rate(Ministry Of Road Transport And Highways (State,Not reported,2019,2023-08-31,396.86,325.22,-20.50678058099108,-18.05170589124628,-2.4550746897448015,762.1167883402246,1460.0,-697.8832116597754,1,1
,WIDENING TO 2LPS FROM 173/37 TO 229/40 OF NH-59 IN THE STATE,To Boudh) In The State Of Odisha        (Ministry Of Road,Not reported,2018,2023-08-31,214.23,179.48,-27.14719275846374,-16.220884096531766,-10.926308661931973,365.58149609200825,1856.0,-1490.4185039079916,1,1
,WIDENING TO 2LPS FROM 58/00 TO 116/10 OF NH-153B (NAKTIDEUL,Shoulder Configuration Of Nandakumar-Contai-Chan,Not reported,2018,2023-08-31,206.88,123.5,-27.08242756297458,-40.30355761794277,13.221130054968192,186.78175999748024,1978.0,-1791.2182400025197,1,1
,2-LANING OF CHURACHANDPUR TUIVAI SECTION OF NH-102B (1A,Flexible Pavement On Khalghat To Sarwardewla Road,Not reported,2022,2023-09-30,167.95,84.16,-31.34061454294016,-49.889848169097945,18.549233626157786,141.868515422884,486.0,-344.131484577116,1,1
,CONSTRUCTION TO TWO LANE WITH PAVED SHOULDERS WITH,Bot (Toll)(Ministry Of Road Transport And Highways (State,Not reported,2021,2023-09-30,264.5,215.21,-22.32578402895645,-18.635160680529296,-3.6906233484271525,344.1408162213144,943.0,-598.8591837786855,1,1
,MANGAWA-MP/UP BORDER SECTION OF NH-27 (4L) IN MP,Road Transport And Highways,Not reported,2015,2023-09-30,410.72,392.45,-9.383566893544067,-4.448285936891322,-4.935280956652745,1254.7790898206213,3104.0,-1849.2209101793787,1,1
