project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
,CONSTRUCTION OF EXTENSION BUILDING TO PARLIAMENT HOUSE,Urban Development,Not reported,2013,2017-01-31,261.85,235.0,-13.653511234844615,-10.253962192094718,-3.3995490427498964,316.9532168238442,1371,-1054.0467831761557,1,1
,WIDENING AND STRENGTHENING TO 2-LANE WITH PS OF NIMBI,Road Transport And Highways,Not reported,2016,2017-02-28,368.15,231.79,10.975062999066111,-37.03925030558196,48.01431330464807,12.726062780400767,424,-411.27393721959925,1,1
,SUB-STATION WORKS ASSOCIATED WITH SYSTEM STRENGTHENING,Power,Not reported,2017,2017-04-30,972.42,92.2,10.33927315813132,-90.51850023652331,100.85777339465463,6.790520817068886,0,6.790520817068886,1,0
,INSTALLATION OF DIESEL HYDROTREATMENT UNIT (DHT) AND,Petroleum,Not reported,2017,2017-09-30,1714.0,1067.89,-5.617816824985255,-37.69603267211201,32.078215847126756,0.2681872837946202,121,-120.73181271620538,1,1
,WR-NR HVDC INTERCONNECTOR FOR IPP PROJECTS IN,Power,Not reported,2015,2017-09-30,9569.76,7311.17,-3.4877263336619677,-23.60132333517246,20.11359700151049,389.7131304062458,852,-462.2868695937542,1,1
,CONSTRUCTION OF NISM CAMPUS AT PATALGANGA RASAYANI,Urban Development,Not reported,2015,2017-10-31,315.0,302.82,-9.540184908984443,-3.866666666666669,-5.673518242317774,339.65546368539003,883,-543.34453631461,1,1
,INSTALLATION OF DEMONSTRATION UNIT OF INDA DEPT AT,Petroleum,Not reported,2016,2017-10-31,163.88,82.45,11.894741621179591,-49.68879668049792,61.583538301677514,31.766844766320922,487,-455.2331552336791,1,1
,IMPLEMENTATION OF 50 MW WIND POWER PROJECT AT RAJASTHAN,Mines,Not reported,2016,2017-11-30,344.5,344.5,-21.491645716340656,0.0,-21.491645716340656,42.291343653119576,394,-351.70865634688045,1,1
,TRANSMISSION SYSTEM STRENTHENING ASSOCIATED WITH,Power,Not reported,2018,2017-11-30,244.19,123.33,9.512576394373113,-49.4942462836316,59.00682267800471,17.978335710726512,0,17.978335710726512,1,0
,SAFDARJUNG HOSPITAL RE-DEVELOPMENT AND OTHERS -SUPER,Health And Family Welfare,Not reported,2015,2017-12-31,444.7,326.3,-4.819262550087231,-26.624690802788393,21.805428252701162,103.37177108757031,761,-657.6282289124297,1,1
,"SAFDARJUNG HOSPITAL, NEW DELHI-REDEVELOPMENT and",Speciality Block                (Hospital Services,Not reported,2016,2017-12-31,196.7,170.0,-14.264263304504382,-13.57397051347229,-0.6902927910320926,84.63154506409907,730,-645.3684549359009,1,1
,RAMANAGRAM-MYSORE DOUBLING WITH ELECTRIFICATION OF,Railways,Not reported,2013,2018-02-28,482.0,992.61,-6.1483119031190085,105.93568464730289,-112.0839965504219,158.6565187140323,1825,-1666.3434812859678,0,1
,SURATPURA - HANUMANGARH - SRIGANGANAGAR GUAGE,Kengesii- Musore (Swr)                    (South Western,Not reported,2014,2018-02-28,516.23,694.13,-13.780814707554342,34.461383491854406,-48.24219819940875,51.995679751001965,1460,-1408.004320248998,1,1
,CONNECTIVITY FOR KUDANKULAM 3 AND 4 (2000MW) WITH,Nr Part Of West Bengal And Transfer Of Power (Power,Not reported,2018,2018-03-31,162.11,125.0,-17.939859313107547,-22.891863549441744,4.952004236334197,34.90215756292836,0,34.90215756292836,1,0
,TRANSMISSION SYSTEM FOR DEVELOPMENT OF POOLING STN. IN,Power,Not reported,2015,2018-03-31,4404.57,3700.95,0.23065527153086407,-15.974771657619243,16.205426929150107,419.3615790702531,1185,-765.6384209297469,1,1
,ESTABLISHMENT OF FIBER OPTIC COMMUNICATION SYSTEM IN,Power,Not reported,2014,2018-04-30,198.63,127.13,2.329592829879985,-35.99657654936314,38.326169379243126,757.3551680687314,1337,-579.6448319312686,1,1
,REMOVAL OF CONSTRAINTS IN 400KV BAYS EXTENSIONS AT 400KV,Northern Region                     (Power Grid,Not reported,2018,2018-04-30,207.88,17.0,-13.806162114102392,-91.82220511833751,78.01604300423512,33.875721150389126,0,33.875721150389126,1,0
,FUEL QUALITY UPGRADATION (DHDT/DHDS) PROJECT AT GUJARAT,Petroleum,Not reported,2017,2018-05-31,931.0,684.74,7.837645113087746,-26.45112781954887,34.28877293263662,4.1721230353788,334,-329.8278769646212,1,1
,AUGMENTATION OF TRANSFORMATION CAPACITY IN SOUTHERN,Power,Not reported,2019,2018-06-30,167.75,86.62,-2.6992599174063514,-48.36363636363636,45.66437644623001,14.610144222354593,0,14.610144222354593,1,0
,2-LANNING WITH PS KHAGARIA-PURNEA,Road Transport And Highways,Not reported,2014,2018-09-30,664.0,654.59,6.427890868417251,-1.4171686746987904,7.845059543116041,70.07251753102577,1702,-1631.9274824689742,1,1
,DEVELOPMENT OF SIX LANE EASTERN PERIPHERAL EXPRESSWAY (,Pkg-V)                       (National Highways Authority Of,Not reported,2018,2018-09-30,789.31,867.54,-1.7341052340686645,9.911188253031131,-11.645293487099796,7.435161573081146,213,-205.56483842691887,0,1
