project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
,2 LANING OF SINGER RIVER TO SIZOH NALA IN ARUNACHAL,Highways And Infrastructure Development Corporation,Not reported,2019,2021-01-31,179.82,199.53,-50.47862036098797,10.960960960960966,-61.439581321948936,184.78090909090903,761,-576.2190909090909,1,1
,CONSTRUCTION OF MECHI BRIDGE AND APPROACHES ON INDIA-,Highways And Infrastructure Development Corporation,Not reported,2018,2021-01-31,158.65,110.62,-39.463988131526285,-30.274188465174912,-9.189799666351373,190.99797619047612,975,-784.0020238095238,1,1
,MDPL CAPACITY EXPANSION AND PALANPUR VADODARA PIPELINE,Petroleum,Not reported,2020,2021-01-31,1879.0,1694.25,-23.92300047156672,-9.83235763704098,-14.09064283452574,231.5845292207793,244,-12.415470779220698,1,1
,WIDENING FROM TWO LANE TO FOUR LANE WITH PAVED SHOULDER,Highways And Infrastructure Development Corporation,Not reported,2017,2021-01-31,223.67,112.81,-39.038147522425504,-49.56408995395002,10.525942431524513,388.5944805194807,1460,-1071.4055194805192,1,1
,MODERNISATION OF STEEL MELTING SHOP NO.1 AT BOKARO STEEL,Steel,Not reported,2017,2021-02-28,1154.18,1027.04,-37.5196827775687,-11.01561281602524,-26.504069961543458,523.19863997114,1185,-661.80136002886,1,1
,"FUEL QUALITY UPGRADATION (NSU,NHT CCR NEW UNIT) PROJECT",Petroleum,Not reported,2019,2021-03-31,951.64,708.43,-23.85579536699872,-25.55693329410282,1.7011379271040994,247.6530339105339,547,-299.3469660894661,1,1
,REHABILITATION AND UPGRADATION OF NH67 FROM KM 424.650 TO,Road Transport And Highways,Not reported,2018,2021-05-31,378.24,315.42,-33.63350048424538,-16.60850253807106,-17.02499794617432,468.5858279220779,1246,-777.4141720779221,1,1
,MOTOR SPIRIT BLOCK PROJECT (MSBP) TO PRODUCE BSVI MS AT,Petroleum,Not reported,2020,2021-06-30,3313.0,2977.0,5.591129779255317,-10.141865378810746,15.732995158066062,439.1250541125543,515,-75.87494588744568,1,1
,CONSTRUCTION OF 76 NOS MS FLATS FOR HONORABLE MPS OF,Court Of India At Land Adjoining Pragati Maidan (Central,Not reported,2020,2021-08-31,218.72,175.63,-45.223753474587646,-19.70098756400878,-25.522765910578865,101.54883116883116,303,-201.45116883116884,1,1
,CONSTRUCTION OF A NEW POL DEPOT AT VILLAGE DATA IN HISAR,Effluent Treatment Plant At Madhuban              (Oil India,Not reported,2020,2021-08-31,255.0,275.68,-29.12003430548367,8.10980392156863,-37.2298382270523,136.26687229437232,303,-166.73312770562768,1,1
,CONSTRUCTION OF ADDITIONAL COMPLEX FOR THE SUPREME,Urban Development,Not reported,2015,2021-08-31,884.3,874.29,61.14933729827699,-1.1319687888725536,62.281306087149545,1365.2691504329005,2100,-734.7308495670995,1,1
,FOUR LANING OF CHANDIGARH - KHARAR,Shoulders Configuration Of Nabarangpur-Kok (Ministry,Not reported,2017,2021-08-31,447.29,346.39,-30.663023816703266,-22.558071944376138,-8.104951872327128,521.6592424242425,1369,-847.3407575757575,1,1
,FOUR LANNING OF NH-4A(NH-748) FROM KM 118 TO 125 INCL.FOUR,Road Transport And Highways,Not reported,2018,2021-08-31,297.0,290.64,-21.12813012160252,-2.141414141414146,-18.986715980188375,406.95544913419906,1248,-841.0445508658009,1,1
,NH 79 CHITTORGARH NEEMUCH MP BORDER FOUR LANING AND NH,Shoulders Configuration Of Nabarangpur-Kok (Ministry,Not reported,2013,2021-08-31,511.0,492.0,15.27735525275324,-3.7181996086105675,18.995554861363807,200.01735930735936,2891,-2690.9826406926404,1,1
,NH 79 OF CHITTORGARH NEEMUCH MP BORDER KM 183 000 TO KM,Shoulders Configuration Of Nabarangpur-Kok (Ministry,Not reported,2013,2021-08-31,511.0,2323.04,15.27735525275324,354.6066536203523,-339.32929836759905,200.01735930735936,2891,-2690.9826406926404,1,1
,REHABILITATION AND UP-GRADATION TO 2 LANE WITH PAVED,Shoulder Of Abohar-Sitogunno-Dabwali Road Of Nh,Not reported,2020,2021-08-31,173.24,56.66,-50.23045523427545,-67.29392749942276,17.06347226514731,173.15126623376617,456,-282.84873376623386,1,1
,REHABILITATION AND UPGRADATION OF ALLAHABAD -MIRZAPUR,Shoulder Of Mudki-Jawahar Singh Wala Section Of,Not reported,2019,2021-08-31,239.63,212.53,-36.039894888873974,-11.30910153152777,-24.730793357346204,125.23144480519478,942,-816.7685551948052,1,1
,REHABILITATION AND UPGRADING TO 2 LANE WITH PAVED,Epc(Ministry Of Road Transport And Highways (State,Not reported,2014,2021-08-31,278.39,22.18,-10.244398525963716,-92.03275979740651,81.7883612714428,991.698161976912,2587,-1595.3018380230878,1,1
,REHABILITATION AND UPGRADING TO 2 LANES/2 LANE WITH PAVED,Rate(Ministry Of Road Transport And Highways (State,Not reported,2018,2021-08-31,229.41,6.65,-53.538863418130475,-97.10125975328016,43.562396335149685,674.5201677489176,1218,-543.4798322510824,1,1
,REHABILITATION AND UPGRADING TO 2 LNES-2 LANE WITH PAVED,Paved Shoulders From Existing                Epc(Ministry Of,Not reported,2014,2021-08-31,376.52,171.16,23.147505341269497,-54.541591416126636,77.68909675739613,1149.4030032467533,2709,-1559.5969967532467,1,1
,SECONDARY TANK FARM WITH DEHYDRATION FACILITY AND,Petroleum,Not reported,2017,2021-08-31,352.56,455.0,-22.731796850081164,29.056047197640115,-51.78784404772128,388.8262337662338,1644,-1255.1737662337662,1,1
,STRENGTHENING AND WIDENING WORK OF EXISTING 2-LANE TO,Shoulders Configuration And Strengthening Of Anish,Not reported,2016,2021-08-31,206.8,74.04,-11.620691428306928,-64.19729206963248,52.576600641325555,1016.9268073593074,1887,-870.0731926406926,1,1
,WIDENING AND STRENGHENING OF NH-65 TO TWO LANES WITH,Epc(Ministry Of Road Transport And Highways (State,Not reported,2015,2021-08-31,257.09,14.18,-19.70797834725166,-94.484421797814,74.77644345056234,907.9810660173159,2434,-1526.018933982684,1,1
,WIDENING AND STRENGTHENING OF EXISTING SL IL DL TO 2 LANE,Two Lane With Paved Shoulder And Gemetric Impr,Not reported,2017,2021-08-31,239.91,147.25,-30.103266260175687,-38.62281688966696,8.51955062949127,404.90864718614733,1430,-1025.0913528138526,1,1
,WIDENING OF SL TO 2 L KM. 107-184.80 SUKUMA TO KONTA ON NH,Flash Report,Not reported,2013,2021-08-31,179.89,242.23,-10.484442445154814,34.65451109011063,-45.13895353526544,360.3518344155844,3105,-2744.6481655844154,1,1
,BHILDI-VIRAMGAM GAUGE CONVERSION INCLUDING GC OF,Flash Report,Not reported,2019,2021-09-30,551.51,773.12,-26.085218771951713,40.18240829722036,-66.26762706917208,307.41843073593077,944,-636.5815692640692,1,1
,GREEN ENERGY CORRIDORS - INTER STATE TRANSSMISSION,Plant (Psp)                      (Power Grid Corporation Of,Not reported,2019,2021-09-30,3519.59,2562.41,-3.3897266545521,-27.195781326802276,23.806054672250177,501.495432900433,883,-381.504567099567,0,1
