project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
,"INSTALLATION OF 700 TPD OXYGEN PLANT,",Ix(Power Grid Corporation Of India Limited) -,Not reported,2009,2011-01-31,302.7,244.97,-14.97075304792679,-19.071688140072677,4.100935092145887,281.49542748917736,609,-327.50457251082264,1,1
,DWT PANAMAX BULK CA SHIPP. DEEPENING OF CHANNEL 154.84 253.36 12/2007 03/,Nhai,Not reported,2011,2011-03-31,2011.0,3.0,-41.4356210634342,-99.85082048731975,58.415199423885554,169.51900974025975,0,169.51900974025975,0,0
,DWT PORT TRUST ESTABLISHMENT OF 165.00 165.00 12/2005 03/,Trust,Not reported,2011,2011-03-31,2011.0,7.0,-41.4356210634342,-99.65191447041273,58.21629340697854,169.51900974025975,0,169.51900974025975,0,0
,SYSTEM STRENGHTENING IN NR GRID FOR KARCHAM,Improvement(Indian Oil Corporation Limited) -,Not reported,2011,2011-03-31,328.97,181.39,-20.008914483928148,-44.86123354713197,24.85231906320382,46.95963744588745,0,46.95963744588745,0,0
,TPH BOILER-6 AND 260.00 350.00 N.A. 06/,Sail,Not reported,2011,2011-03-31,2011.0,1.0,-41.4356210634342,-99.95027349577325,58.51465243233905,169.51900974025975,0,169.51900974025975,0,0
,D/O OF TERMINAL BLDG. AND PAVEMENT WORKS AT,Annexure-I,Not reported,2010,2011-05-31,535.0,143.97,-42.44761675536719,-73.08971962616822,30.642102870801025,64.77276285583102,364,-299.22723714416895,0,1
,TR. SYSTEM FOR STARTUP POWER TO DVC AND MAITHON,Annexure-I,Not reported,2010,2011-05-31,290.49,346.8,-21.0376357239451,19.384488278426108,-40.422124002371206,47.85872835497837,425,-377.1412716450216,1,1
,EAST-WEST TRANSNISSION CORRIDOR STRENGTHNING,Rb(Power Grid Corporation Of India Limited) -,Not reported,2009,2011-06-30,803.7,667.01,-26.169256317375368,-17.00758989672764,-9.161666420647727,479.84347402597416,759,-279.15652597402584,1,1
,TRANSMISSION SYSTEM ASSOCIATED WITH KORBA III,Scheme(Power Grid Corporation Of India Limited) -,Not reported,2011,2011-06-30,276.61,199.16,-24.39220127200338,-27.999710784136518,3.607509512133138,49.25842532467535,29,20.25842532467535,0,0
,IMPROVEMENT OF ACCESS OF GQ WITHIN CHENNAI,Gene(Power Grid Corporation Of India Limited) -,Not reported,2007,2011-07-31,210.0,672.97,21.79310918375166,220.4619047619048,-198.66879557815315,661.404751082251,1582,-920.595248917749,1,1
,EST. OF 400/220 KV GIS POOLING STATION NEAR,City(Nhai) Others(National Highways Authority Of,Not reported,2010,2011-08-31,262.1,164.0,-25.87942059685728,-37.42846241892408,11.549041822066798,49.25842532467535,364,-314.74157467532467,0,1
,TRANSMISSION SYSTEM ASSOCIATED WITH FARAKKA-,Chamer(Power Grid Corporation Of India Limited) -,Not reported,2011,2011-10-31,204.07,129.6,-28.897450241587194,-36.492380065663745,7.5949298240765515,47.46069805194807,152,-104.53930194805193,0,1
,"GAGODHAR-GARAMORE(PK-IV,NH15) KM 245 TO 281.3 AND",Iii(Power Grid Corporation Of India Limited) -,Not reported,2007,2012-02-29,412.78,437.8,27.308438775801612,6.06134018121034,21.24709859459127,692.3889826839824,1581,-888.6110173160176,1,1
,2-LANNING WITH PS KHAGARIA-PURNEA 664.00 664.00 02/2014 02/,Nhai,Not reported,2014,2012-03-31,2014.0,2.0,-41.4356210634342,-99.90069513406156,58.46507407062737,169.51900974025975,0,169.51900974025975,0,0
,330 TPH BOILER-6 AND AUXILIARY SYSTEM 260.00 350.00 08/2010 03/,Power Requirem Rinl,Not reported,2012,2012-03-31,2012.0,2.0,-41.4356210634342,-99.90059642147118,58.46497535803698,169.51900974025975,0,169.51900974025975,0,0
,67.5 MW TG-5 AUX. S'TEM EMERGENCY 230.00 343.58 02/2011 04/,And Urea Plant Vij Nfl,Not reported,2012,2012-03-31,2012.0,2.0,-41.4356210634342,-99.90059642147118,58.46497535803698,169.51900974025975,0,169.51900974025975,0,0
,"765 KV POOLING STATION AND NETWORK 7,075.33 7,075.33 08/2012 08/",Associated With Dvc And Pgcil,Not reported,2013,2012-03-31,2012.0,7.0,-41.4356210634342,-99.6520874751491,58.216466411714904,169.51900974025975,0,169.51900974025975,0,0
,ACQUISITION OF TWO NOS OF 120 B.P BY 241.50 241.50 09/2011 12/,Nhai,Not reported,2012,2012-03-31,2011.0,4.0,-41.4356210634342,-99.801093983093,58.3654729196588,169.51900974025975,0,169.51900974025975,0,0
