project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
,AUGMENTATION OF TRANSFORMERS IN NORTHERN REGION - PART,Limited And Ind-Barath Power(Madras) Limited L (Power,Not reported,2016,2019-03-31,155.57,146.32,-22.89551510214995,-5.945876454329241,-16.94963864782071,136.23771031031268,1125.0,-988.7622896896873,1,1
,COMMON SYSTEM ASSOCIATED WITH COASTAL ENERGEN PRIVATE,Power,Not reported,2014,2019-03-31,1940.13,2562.42,-46.12426418190398,32.074654791173785,-78.19891897307777,-0.03120383769773401,1672.0,-1672.0312038376978,1,1
,PROVISION OF STATECOM AT NALAGARH AND LUCKNOW IN,Mundra Umpp (Part-B)                      (Power Grid,Not reported,2019,2019-03-31,431.89,264.06,-44.63913133103404,-38.859431799763826,-5.779699531270211,-1.698978898407231,58.0,-59.69897889840723,0,0
,TRANSMISSION SYSTEM STRENGTHENING ASSOCIATED WITH,B                            (Power Grid Corporation Of India,Not reported,2018,2019-03-31,300.94,253.36,-42.61836210375441,-15.81046055692164,-26.807901546832767,-2.1562096173159637,120.0,-122.15620961731597,0,1
,DISTILLATE YIELD IMPROVEMENT PROJECT (COKER) AT HALDIA,Petroleum,Not reported,2017,2019-04-30,3076.0,3450.3,-0.6111171272373284,12.168400520156053,-12.779517647393382,6.077481342583353,606.0,-599.9225186574166,1,1
,JAIPUR - RINGUS - CHURU AND SIKAR - LOHARU GUAGE,Railways,Not reported,2014,2019-04-30,653.19,862.17,-7.229321513020054,31.993753731686013,-39.22307524470607,573.108765796518,1886.0,-1312.8912342034819,1,1
,"KHADIA EXPANSION OPENCAST PROJECT(4 TO 10 MTPA,6MTPA",Coal,Not reported,2018,2019-04-30,1131.28,796.85,-33.97787912347805,-29.56208896117672,-4.415790162301327,-12.03143203961232,425.0,-437.0314320396123,0,1
,PHALODI -JAISALMER SECTION OF NH-15 TO TWO/FOUR LANE WITH,Road Transport And Highways,Not reported,2018,2019-04-30,567.51,421.6,-36.64739497533962,-25.710560166340674,-10.936834808998949,-3.4212494325335725,425.0,-428.42124943253356,1,1
,2 LANING OF SHILLONG NONGSTOIN SECTION OF NH 44 AND,Shoulders Configuration Of Pratapgarh-Padi (Ministry,Not reported,2011,2019-05-31,1494.48,2158.5,-14.612314228017674,44.43150794925325,-59.043822177270926,85.89953874078607,3041.0,-2955.1004612592137,1,1
,ALLAHABAD TO UP/MP BORDER SECTION OF NH-27 IN UTTAR,Nongstoin Tura State Road Under Phase A Of Sa Item,Not reported,2018,2019-05-31,774.57,613.58,-33.48837004175676,-20.784435235033634,-12.703934806723126,-0.18106963983352203,456.0,-456.18106963983354,1,1
