project_id,project_name,sector,implementing_agency,planned_commissioning_year,completion_date,approved_cost_cr,reported_completion_expenditure_cr,predicted_cost_overrun,actual_cost_overrun,cost_error,predicted_delay_days,actual_delay_days,delay_error,predicted_risk,actual_risk
,RAMANAGRAM-MYSORE DOUBLING WITH ELECTRIFICATION OF,Railways,Not reported,2013,2018-02-28,482.0,992.61,3.977692884556612,105.93568464730289,-101.95799176274627,709.1723250360751,1825,-1115.827674963925,1,1
,SURATPURA - HANUMANGARH - SRIGANGANAGAR GUAGE,Kengesii- Musore (Swr)                    (South Western,Not reported,2014,2018-02-28,516.23,694.13,-16.700487652577007,34.461383491854406,-51.161871144431416,115.824145021645,1460,-1344.175854978355,1,1
,CONNECTIVITY FOR KUDANKULAM 3 AND 4 (2000MW) WITH,Nr Part Of West Bengal And Transfer Of Power (Power,Not reported,2018,2018-03-31,162.11,125.0,-39.9802830571276,-22.891863549441744,-17.088419507685856,411.0037987012988,0,411.0037987012988,1,0
,TRANSMISSION SYSTEM FOR DEVELOPMENT OF POOLING STN. IN,Power,Not reported,2015,2018-03-31,4404.57,3700.95,-11.005753011521394,-15.974771657619243,4.969018646097849,528.9310281385282,1185,-656.0689718614718,0,1
,ESTABLISHMENT OF FIBER OPTIC COMMUNICATION SYSTEM IN,Power,Not reported,2014,2018-04-30,198.63,127.13,-5.950585007525194,-35.99657654936314,30.045991541837946,467.7874025974025,1337,-869.2125974025976,1,1
,REMOVAL OF CONSTRAINTS IN 400KV BAYS EXTENSIONS AT 400KV,Northern Region                     (Power Grid,Not reported,2018,2018-04-30,207.88,17.0,-11.483852660227555,-91.82220511833751,80.33835245810995,593.0870833333335,0,593.0870833333335,1,0
,FUEL QUALITY UPGRADATION (DHDT/DHDS) PROJECT AT GUJARAT,Petroleum,Not reported,2017,2018-05-31,931.0,684.74,-25.071068915794974,-26.45112781954887,1.3800589037538948,215.40156565656568,334,-118.59843434343432,1,1
,AUGMENTATION OF TRANSFORMATION CAPACITY IN SOUTHERN,Power,Not reported,2019,2018-06-30,167.75,86.62,-37.21802316091663,-48.36363636363636,11.14561320271973,342.8883658008657,0,342.8883658008657,1,0
,2-LANNING WITH PS KHAGARIA-PURNEA,Road Transport And Highways,Not reported,2014,2018-09-30,664.0,654.59,-10.618471529742807,-1.4171686746987904,-9.201302855044016,116.66637445887446,1702,-1585.3336255411255,1,1
,DEVELOPMENT OF SIX LANE EASTERN PERIPHERAL EXPRESSWAY (,Pkg-V)                       (National Highways Authority Of,Not reported,2018,2018-09-30,789.31,867.54,-24.40065894740825,9.911188253031131,-34.31184720043938,99.38663059163062,213,-113.61336940836938,1,1
